"LastModified","Created","SizeKB","RelativePath"
"2026-04-15 19:39","2026-04-15","154","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\9_Archived_Context\AttentionInfluence Adopting Attention Head Influence for Weak-to-Strong Pretraining Data Selection.md"
"2026-04-15 19:39","2026-04-15","78.5","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\9_Archived_Context\Fragile Knowledge Robust Instruction-Following The Width Pruning Dichotomy in Llama-3.2.md"
"2026-04-15 19:38","2026-04-15","107.4","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\1_Primary_CCV_Protocol\Attention Heads of Large Language Models A Survey.md"
"2026-04-15 19:21","2026-04-15","50.3","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\1_Primary_CCV_Protocol\Matrix of Edging.md"
"2026-04-15 17:42","2026-04-15","16.4","lab\CCP APRIL Updates\Perceptual_Primitives_Architecture.md"
"2026-04-15 07:04","2026-04-15","5.2","lab\CCP APRIL Updates\MCDA_Audit_Batch_3_Text_Finetuning.md"
"2026-04-15 07:04","2026-04-15","4.8","lab\CCP APRIL Updates\MCDA_Audit_Batch_4_Text_Finetuning.md"
"2026-04-15 07:04","2026-04-15","6.8","lab\CCP APRIL Updates\MCDA_Audit_Batch_2_Text_Finetuning.md"
"2026-04-15 06:57","2026-04-15","6.2","lab\CCP APRIL Updates\CutClaw_CMF_Feature_Integration_MCDA.md"
"2026-04-15 06:48","2026-04-15","5","lab\CCP APRIL Updates\MCDA_Audit_Batch_1_Text_Finetuning.md"
"2026-04-15 06:08","2026-04-15","5.1","lab\CCP APRIL Updates\CMF_Visual_Sonic_Orchestration_Brief.md"
"2026-04-15 03:08","2026-04-15","13.9","lab\CCP APRIL Updates\CCV_Self_Training_Protocol.md"
"2026-04-15 03:06","2026-04-15","15.3","lab\CCP APRIL Updates\CCV_Corrected_Analysis.md"
"2026-04-15 03:04","2026-04-15","20.8","lab\CCP APRIL Updates\CCV_Concepts_Deep_Dive.md"
"2026-04-15 00:27","2026-04-11","20.5","lab\CCP APRIL Updates\Idea_Synthesis_12Min_Thought_Leader.md"
"2026-04-15 00:27","2026-04-13","17.9","lab\CCP APRIL Updates\CCP_Update_PRD_Brief.md"
"2026-04-15 00:27","2026-04-13","13.3","lab\CCP APRIL Updates\CCP_Update_Architecture_Brief.md"
"2026-04-15 00:27","2026-04-13","18.9","lab\CCP APRIL Updates\CCP_Update_Product_Brief.md"
"2026-04-15 00:27","2026-04-14","47.3","lab\The Harness\CCV_Signal_vs_Noise_MCDA.md"
"2026-04-15 00:03","2026-04-14","12.2","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\9_Archived_Context\Sovereign_SLM_Distillation_Steering_Protocol.md"
"2026-04-14 22:47","2026-04-14","122.2","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\1_Primary_CCV_Protocol\Can Good Writing Be Generative Expert-Level AI Writing.md"
"2026-04-14 22:47","2026-04-14","74.9","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\9_Archived_Context\Small Language Models can Outperform Humans in Short Creative.md"
"2026-04-14 22:44","2026-04-14","167.8","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\9_Archived_Context\Combinatorial Controlled Variation.md"
"2026-04-14 19:36","2026-04-14","76.6","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\9_Archived_Context\VLM2Vec Training Vision-Language Models for Massive Multimodal Embedding Tasks.md"
"2026-04-14 19:36","2026-04-14","63","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\9_Archived_Context\Vidi Large Multimodal Models for Video Understanding and Editing.md"
"2026-04-14 19:35","2026-04-14","53.3","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\1_Primary_CCV_Protocol\The Rogue Scalpel Activation Steering Compromises LLM Safety.md"
"2026-04-14 19:35","2026-04-14","69.1","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\1_Primary_CCV_Protocol\SV-RAG LORA-CONTEXTUALIZING ADAPTATION OF.md"
"2026-04-14 19:35","2026-04-14","104.1","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\9_Archived_Context\Steer2Edit From Activation Steering to Component-Level Editing.md"
"2026-04-14 19:35","2026-04-14","15.4","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\9_Archived_Context\The Challenger Sale.md"
"2026-04-14 19:35","2026-04-14","71.4","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\9_Archived_Context\Steering Conversational Large Language Models for Long Emotional.md"
"2026-04-14 19:35","2026-04-14","54","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\9_Archived_Context\Two Is Better Than One Dual Embeddings for Complementary Product Recommendations.md"
"2026-04-14 19:34","2026-04-14","69.2","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\9_Archived_Context\ShotVerse Advancing Cinematic Camera Control for Text-Driven Multi-Shot Video Creation.md"
"2026-04-14 19:34","2026-04-14","67.7","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\9_Archived_Context\Scaling Embeddings Outperforms Scaling Experts in Language Models.md"
"2026-04-14 19:34","2026-04-14","44.9","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\9_Archived_Context\Saudi-Dialect-ALLaM LoRA Fine-Tuning for.md"
"2026-04-14 19:34","2026-04-14","69.5","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\1_Primary_CCV_Protocol\RISER Orchestrating Latent Reasoning Skills for Adaptive Activation Steering.md"
"2026-04-14 19:34","2026-04-14","97.8","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\1_Primary_CCV_Protocol\Selective Steering Norm-Preserving Control Through Discriminative Layer Selection.md"
"2026-04-14 19:33","2026-04-14","65.2","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\9_Archived_Context\Prompting and Fine-tuning Large Language Models for Automated Code Review Comment Generation2.md"
"2026-04-14 19:33","2026-04-14","127","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\9_Archived_Context\Multi-Objective Fine-Tuning for Enhanced Program Repair with LLMs.md"
"2026-04-14 19:33","2026-04-14","91.1","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\9_Archived_Context\LoRA+ Efficient Low Rank Adaptation of Large Models.md"
"2026-04-14 19:33","2026-04-14","99.1","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\1_Primary_CCV_Protocol\LoRA Learns Less and Forgets Less.md"
"2026-04-14 19:33","2026-04-14","95.3","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\1_Primary_CCV_Protocol\LoRA vs Full Fine-tuning An Illusion of Equivalence.md"
"2026-04-14 19:32","2026-04-14","68","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\9_Archived_Context\LongEmbed Extending Embedding Models for Long Context Retrieval.md"
"2026-04-14 19:32","2026-04-14","81.3","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\9_Archived_Context\LoRA Land 310 Fine-tuned LLMs that.md"
"2026-04-14 19:32","2026-04-14","171.1","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\9_Archived_Context\Laugh Tactics Master Conversational Humor and Be Funny On Command .md"
"2026-04-14 19:32","2026-04-14","317.1","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\9_Archived_Context\how to be funny.md"
"2026-04-14 19:32","2026-04-14","47.4","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\1_Primary_CCV_Protocol\HYPERSteer.md"
"2026-04-14 19:32","2026-04-14","66.6","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\1_Primary_CCV_Protocol\KV Cache Steering for Inducing Reasoning in Small Language Models.md"
"2026-04-14 19:32","2026-04-14","41.7","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\1_Primary_CCV_Protocol\LORA FINE-TUNING EFFICIENTLY UNDOES SAFETY.md"
"2026-04-14 19:31","2026-04-14","128.9","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\1_Primary_CCV_Protocol\Hallucination reduction with CASAL Contrastive Activation Steering For Amortized Learning.md"
"2026-04-14 19:30","2026-04-14","61.6","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\1_Primary_CCV_Protocol\Guiding Giants Lightweight Controllers for Weighted Activation Steering in LLMs.md"
"2026-04-14 19:30","2026-04-14","109.3","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\1_Primary_CCV_Protocol\Fine-Tuning Large Vision-Language Models as Decision-Making Agents via Reinforcement Learning.md"
"2026-04-14 19:30","2026-04-14","55.5","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\9_Archived_Context\From Bytes to Borsch Fine-Tuning Gemma and Mistral for the Ukrainian Language Representation.md"
"2026-04-14 19:30","2026-04-14","50.6","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\9_Archived_Context\Fine-Tuning Small Language Models for Domain-Specific AI.md"
"2026-04-14 19:30","2026-04-14","75.9","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\9_Archived_Context\FinMTEB Finance Massive Text Embedding Benchmark.md"
"2026-04-14 19:30","2026-04-14","85.5","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\1_Primary_CCV_Protocol\Fine-Tuning with Divergent Chains of Thought Boosts Reasoning Through Self-Correction in Language Models.md"
"2026-04-14 19:29","2026-04-14","83.9","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\1_Primary_CCV_Protocol\Fine-Grained Activation Steering Steering Less, Achieving More.md"
"2026-04-14 19:29","2026-04-14","76.2","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\1_Primary_CCV_Protocol\Embedding Self-Correction as an Inherent Ability in Large Language Models for Enhanced Mathematical Reasoning.md"
"2026-04-14 19:29","2026-04-14","77","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\1_Primary_CCV_Protocol\Endogenous Resistance to Activation Steering in Language Models.md"
"2026-04-14 19:29","2026-04-14","57.2","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\9_Archived_Context\Fine-Tuning Large Language Models to Appropriately Abstain with Semantic Entropy.md"
"2026-04-14 19:29","2026-04-14","35.8","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\9_Archived_Context\Evaluating Fine-Tuning Efficiency of Human-Inspired.md"
"2026-04-14 19:29","2026-04-14","81","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\9_Archived_Context\Embedding Trust Semantic Isotropy Predicts Nonfactuality in Long-Form Text Generation.md"
"2026-04-14 19:28","2026-04-14","47.4","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\1_Primary_CCV_Protocol\CleanComedy Creating Friendly Humor through Generative Techniques.md"
"2026-04-14 19:28","2026-04-14","78.9","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\1_Primary_CCV_Protocol\BottleHumor Self-Informed Humor Explanation using the Information Bottleneck Principle.md"
"2026-04-14 19:28","2026-04-14","59","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\1_Primary_CCV_Protocol\Controlling Large Language Model Agents with Entropic Activation Steering.md"
"2026-04-14 19:28","2026-04-14","62.6","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\1_Primary_CCV_Protocol\CutClaw Agentic Hours-Long Video Editing via Music Synchronization.md"
"2026-04-14 19:28","2026-04-14","73","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\1_Primary_CCV_Protocol\ASA Training-Free Representation Engineering for Tool-Calling Agents.md"
"2026-04-14 19:28","2026-04-14","38.6","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\9_Archived_Context\CFunModel A Funny Language Model Capable of Chinese Humor Generation and Processing.md"
"2026-04-14 19:27","2026-04-14","34","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\9_Archived_Context\Activation Steering for Accent-Neutralized Zero-Shot Text-To-Speech.md"
"2026-04-14 19:27","2026-04-14","36.1","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\9_Archived_Context\Activation Steering for Accent Adaptation in Speech Foundation Models.md"
"2026-04-14 19:27","2026-04-14","193.3","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\1_Primary_CCV_Protocol\A Unified Study of LoRA Variants Taxonomy.md"
"2026-04-14 19:27","2026-04-14","64.4","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\1_Primary_CCV_Protocol\ALLoRA Adaptive Learning Rate Mitigates.md"
"2026-04-14 19:27","2026-04-14","90","lab\LoRa Activation Steering and Embegging papers\Text fine-tuning\9_Archived_Context\ALIVE ANIMATE YOUR WORLD WITH LIFELIKE.md"
"2026-04-14 01:30","2026-04-14","19.4","Script Prompts\scripts_prompts_index.md"
"2026-04-14 01:26","2026-04-14","15.4","Script Prompts\scripts_prompts_index_trimmed.md"
"2026-04-13 19:09","2026-04-13","31.7","a message of love.md"
"2026-04-13 15:52","2026-04-13","14.3","lab\The Harness\MCDA_Sovereign_NIM_Writing_Reasoning_Models.md"
"2026-04-13 12:45","2026-04-13","5.6","lab\CCP APRIL Updates\Telegram_Mini_App_Virality_MCDA.md"
"2026-04-13 05:08","2026-04-13","6.6","lab\CCP APRIL Updates\Trivianar_Mini_App_MCDA_Synthesis.md"
"2026-04-13 04:33","2026-04-13","30.7","Telegram Mini App Virality and Sustainability.md"
"2026-04-13 04:07","2026-04-13","26.8","lab\CCP APRIL Updates\Roleplay_Engine_TRIZ_MCDA_Synthesis.md"
"2026-04-13 02:18","2026-04-12","44.2","lab\CCP APRIL Updates\Law28_CBCS_Program_Architecture_Brief.md"
"2026-04-13 01:39","2026-04-13","50.9","How to Build and Scale Voice Agents Using NVIDIA Nemotron, Modal, and Daily _ Nemotron Labs.md"
"2026-04-11 18:36","2026-04-11","12.1","The Challenger.md"
"2026-04-11 14:31","2026-04-11","19.1","lab\CCP APRIL Updates\Robert_Greene_CCP_Growth_Synthesis.md"
"2026-04-11 02:50","2026-04-11","40.5","lab\CCP APRIL Updates\Sovereign_Growth_MCDA.md"
"2026-04-11 02:21","2026-04-11","24","lab\CCP update\MCDA_Master_Growth_Ranking.md"
"2026-04-11 02:11","2026-04-11","77.8","my first million\_Master Your Mind & Watch What Happens - Robert Greene.md"
"2026-04-11 01:17","2026-04-11","14.6","lab\CCP APRIL Updates\Pieter_Levels_CCP_Growth_Synthesis.md"
"2026-04-11 01:17","2026-04-11","14.6","lab\CCP update\Growth_Transcript_Synthesis\Pieter_Levels_CCP_Growth_Synthesis.md"
"2026-04-11 01:13","2026-04-11","15.2","lab\CCP update\Growth_Transcript_Synthesis\Graham_Weaver_CCP_Growth_Synthesis.md"
"2026-04-11 01:13","2026-04-11","15.2","lab\CCP APRIL Updates\Graham_Weaver_CCP_Growth_Synthesis.md"
"2026-04-11 01:10","2026-04-11","15.4","lab\CCP APRIL Updates\Parr_Puri_CCP_Growth_Synthesis.md"
"2026-04-11 01:10","2026-04-11","15.4","lab\CCP update\Growth_Transcript_Synthesis\Parr_Puri_CCP_Growth_Synthesis.md"
"2026-04-11 01:06","2026-04-11","14.6","lab\CCP update\Growth_Transcript_Synthesis\Craig_Clemens_CCP_Growth_Synthesis.md"
"2026-04-11 01:06","2026-04-11","14.6","lab\CCP APRIL Updates\Craig_Clemens_CCP_Growth_Synthesis.md"
"2026-04-11 01:01","2026-04-11","15.1","lab\CCP APRIL Updates\Lemkin_CCP_Growth_Synthesis.md"
"2026-04-11 01:01","2026-04-11","15.1","lab\CCP update\Growth_Transcript_Synthesis\Lemkin_CCP_Growth_Synthesis.md"
"2026-04-11 00:56","2026-04-11","16.4","lab\CCP APRIL Updates\Syed_CCP_Growth_Synthesis.md"
"2026-04-11 00:56","2026-04-11","16.4","lab\CCP update\Growth_Transcript_Synthesis\Syed_CCP_Growth_Synthesis.md"
"2026-04-11 00:52","2026-04-11","15.6","lab\CCP update\Growth_Transcript_Synthesis\Shaan_CCP_Growth_Synthesis.md"
"2026-04-11 00:52","2026-04-11","15.6","lab\CCP APRIL Updates\Shaan_CCP_Growth_Synthesis.md"
"2026-04-11 00:47","2026-04-11","15.4","lab\CCP APRIL Updates\DeSo_CCP_Growth_Synthesis.md"
"2026-04-11 00:47","2026-04-11","15.4","lab\CCP update\Growth_Transcript_Synthesis\DeSo_CCP_Growth_Synthesis.md"
"2026-04-11 00:31","2026-04-11","15.6","lab\CCP APRIL Updates\Galloway_CCP_Growth_Synthesis.md"
"2026-04-11 00:31","2026-04-11","15.6","lab\CCP update\Growth_Transcript_Synthesis\Galloway_CCP_Growth_Synthesis.md"
"2026-04-11 00:28","2026-04-11","15.9","lab\CCP APRIL Updates\CalAI_CCP_Growth_Synthesis.md"
"2026-04-11 00:28","2026-04-11","15.9","lab\CCP update\Growth_Transcript_Synthesis\CalAI_CCP_Growth_Synthesis.md"
"2026-04-11 00:24","2026-04-11","15.7","lab\CCP APRIL Updates\Beehiiv_CCP_Growth_Synthesis.md"
"2026-04-11 00:24","2026-04-11","15.7","lab\CCP update\Growth_Transcript_Synthesis\Beehiiv_CCP_Growth_Synthesis.md"
"2026-04-10 23:46","2026-04-10","77.2","my first million\From $0 To +$100M With Gas Stations & WP Plugins _ Syed Balkhi Interview.md"
"2026-04-10 23:44","2026-04-10","4.9","my first million\How Decentralized Social Networks Work.md"
"2026-04-10 23:44","2026-04-10","64.7","my first million\The 3-Step Writing Framework That Helped Us Build +$10M Newsletters.md"
"2026-04-10 23:43","2026-04-10","85.9","my first million\How the smartest founders are winning in AI.md"
"2026-04-10 23:41","2026-04-10","66.1","my first million\Psychological Tricks I Used To Sell $1 Billion in Products Online - Craig Clemens.md"
"2026-04-10 23:39","2026-04-10","38.2","my first million\A No BS Guide To Making Your First $1,000,000.md"
"2026-04-10 23:37","2026-04-10","86","my first million\This Is What Real Freedom Looks Like - Pieter Levels.md"
"2026-04-10 23:36","2026-04-10","61.9","my first million\17 Brutal Lessons If You Want Financial Freedom.md"
"2026-04-10 23:27","2026-04-10","68.4","my first million\We asked a $18.9B Investor how to survive the AI bubble.md"
"2026-04-10 23:15","2026-04-10","73.6","my first million\Zach is 18 & made $50m from an app. Here's the brutal breakdown of how he did it (and you can too).md"
"2026-04-10 21:56","2026-04-11","20.9","lab\CCP update\Growth_Transcript_Synthesis\Idea_Synthesis_12Min_Thought_Leader.md"
"2026-04-10 20:31","2026-04-11","13.2","lab\CCP APRIL Updates\CBAR_30Day_Challenge_Analysis.md"
"2026-04-10 20:17","2026-04-11","11.5","lab\CCP APRIL Updates\CBAR_Pricing_Experiment_April2026.md"
"2026-04-10 20:17","2026-04-11","12.9","lab\CCP APRIL Updates\Voice_Coach_Growth_Engine_Positioning.md"
"2026-04-10 17:39","2026-04-11","17.3","lab\CCP APRIL Updates\MCDA_Full_Ecosystem_Synthesis.md"
"2026-04-10 16:47","2026-04-10","62.2","How To Make $1M So Fast, Your Accountant Gets Nervous..md"
"2026-04-10 15:11","2026-04-11","13.7","lab\CCP APRIL Updates\MCDA_Pricing_Entertainment_Synthesis.md"
"2026-04-09 23:47","2026-04-13","26.4","lab\CCP update\MCDA_Sovereign_NIM_Writing_Reasoning_Models.md"
"2026-04-09 23:47","2026-04-09","6.6","lab\CCP update\implementation_plan.md"
"2026-04-09 23:47","2026-03-11","240.9","docs\prd\prd.md"
"2026-04-09 16:29","2026-04-09","16.9","Pi from Theo Podcast.md"
"2026-04-09 15:35","2026-04-09","25.3","docs\prd\prd-update-how-we-got-here-svre-scre.md"
"2026-04-09 03:59","2026-04-09","15.7","tmp\pi-mono\packages\pods\README.md"
"2026-04-09 03:59","2026-04-09","0.7","tmp\pi-mono\packages\coding-agent\test\suite\README.md"
"2026-04-09 03:59","2026-04-09","9.1","tmp\pi-mono\packages\pods\docs\gml-4.5.md"
"2026-04-09 03:59","2026-04-09","0.1","tmp\pi-mono\packages\coding-agent\test\fixtures\skills-collision\second\calendar\SKILL.md"
"2026-04-09 03:59","2026-04-09","1.6","tmp\pi-mono\packages\web-ui\example\README.md"
"2026-04-09 03:59","2026-04-09","0.1","tmp\pi-mono\packages\coding-agent\test\fixtures\skills-collision\first\calendar\SKILL.md"
"2026-04-09 03:59","2026-04-09","15.4","tmp\pi-mono\packages\mom\CHANGELOG.md"
"2026-04-09 03:59","2026-04-09","34","tmp\pi-mono\packages\mom\docs\new.md"
"2026-04-09 03:59","2026-04-09","9.8","tmp\pi-mono\packages\mom\docs\events.md"
"2026-04-09 03:59","2026-04-09","0.1","tmp\pi-mono\packages\coding-agent\test\fixtures\skills\nested\child-skill\SKILL.md"
"2026-04-09 03:59","2026-04-09","4.4","tmp\pi-mono\packages\mom\docs\sandbox.md"
"2026-04-09 03:59","2026-04-09","9","tmp\pi-mono\packages\mom\docs\slack-bot-minimal-guide.md"
"2026-04-09 03:59","2026-04-09","9.4","tmp\pi-mono\packages\mom\docs\v86.md"
"2026-04-09 03:59","2026-04-09","12.9","tmp\pi-mono\packages\mom\docs\artifacts-server.md"
"2026-04-09 03:59","2026-04-09","20.2","tmp\pi-mono\packages\mom\README.md"
"2026-04-09 03:59","2026-04-09","0.1","tmp\pi-mono\packages\coding-agent\test\fixtures\skills\valid-skill\SKILL.md"
"2026-04-09 03:59","2026-04-09","5.7","tmp\pi-mono\packages\pods\docs\models.md"
"2026-04-09 03:59","2026-04-09","0.2","tmp\pi-mono\packages\coding-agent\test\fixtures\skills\name-mismatch\SKILL.md"
"2026-04-09 03:59","2026-04-09","5.7","tmp\pi-mono\packages\pods\docs\qwen3-coder.md"
"2026-04-09 03:59","2026-04-09","7.4","tmp\pi-mono\packages\pods\docs\plan.md"
